Date;Revenue ($)
2018-03-01;7878261
2018-03-02;7995176
2018-03-03;9887822
2018-03-04;10067265
2018-03-05;9018922
2018-03-06;7372050
2018-03-07;7634777
2018-03-08;7348619
2018-03-09;7590490
2018-03-10;7985246
2018-03-11;9378573
2018-03-12;8265780
2018-03-13;6750923
2018-03-14;6890620
2018-03-15;6611906
2018-03-16;7271409
2018-03-17;9519969
2018-03-18;10760312
2018-03-19;9861632
2018-03-20;7559553
2018-03-21;7780081
2018-03-22;7634569
2018-03-23;6745895
2018-03-24;9335115
2018-03-25;10271207
2018-03-26;10044255
2018-03-27;7559553
2018-03-28;6249367
2018-03-29;6634569
2018-03-30;6693913
2018-03-31;7789467
2018-04-01;8925417
2018-04-02;8156614
2018-04-03;6411049
2018-04-04;7393961
2018-04-05;6976846
2018-04-06;6693913
2018-04-07;7713099
2018-04-08;9011239
2018-04-09;8156614
2018-04-10;6288934
2018-04-11;7028899
2018-04-12;7150885
2018-04-13;6077153
2018-04-14;8667563
2018-04-15;9613430
2018-04-16;8772570
2018-04-17;6477599
2018-04-18;6551790
2018-04-19;6501397
2018-04-20;6545220
2018-04-21;7904394
2018-04-22;8635728
2018-04-23;8270138
2018-04-24;6648541
2018-04-25;6172775
2018-04-26;6051419
2018-04-27;6166514
2018-04-28;8728659
2018-04-29;9208962
2018-04-30;9147298
2018-05-01;7741972
2018-05-02;6845106
2018-05-03;6954340
2018-05-04;5999269
2018-05-05;8647083
2018-05-06;9655999
2018-05-07;9416336
2018-05-08;8034122
2018-05-09;7180650
2018-05-10;5280292
2018-05-11;5492029
2018-05-12;6636477
2018-05-13;6943343
2018-05-14;6822336
2018-05-15;6255761
2018-05-16;5861218
2018-05-17;5991261
2018-05-18;6008603
2018-05-19;6657297
2018-05-20;8052227
2018-05-21;7125915
2018-05-22;6509310
2018-05-23;6175340
2018-05-24;5944044
2018-05-25;6342454
2018-05-26;6235247
2018-05-27;8085602
2018-05-28;8283632
2018-05-29;6826375
2018-05-30;6543967
2018-05-31;6641597
2018-06-01;6283728
2018-06-02;6482188
2018-06-03;7930109
2018-06-04;8361779
2018-06-05;6826375
2018-06-06;6119821
2018-06-07;5464681
2018-06-08;5589477
2018-06-09;6506286
2018-06-10;8366198
2018-06-11;8009580
2018-06-12;8435792
2018-06-13;9090978
2018-06-14;6527304
2018-06-15;6198211
2018-06-16;8649441
2018-06-17;7967307
2018-06-18;7317764
2018-06-19;6386572
2018-06-20;5463999
2018-06-21;6567346
2018-06-22;9277085
2018-06-23;8438542
2018-06-24;9262494
2018-06-25;5349309
2018-06-26;5510249
2018-06-27;5295546
2018-06-28;6415510
2018-06-29;8449441
2018-06-30;7767307
2018-07-01;7417764
2018-07-02;6239400
2018-07-03;6240154
2018-07-04;5436150
2018-07-05;5548900
2018-07-06;5845750
2018-07-07;8157055
2018-07-08;9151865
2018-07-09;9238895
2018-07-10;5916158
2018-07-11;5740649
2018-07-12;5727472
2018-07-13;5946928
2018-07-14;8097717
2018-07-15;8228520
2018-07-16;7694244
2018-07-17;6011350
2018-07-18;5731574
2018-07-19;5975355
2018-07-20;6090686
2018-07-21;7538646
2018-07-22;7620997
2018-07-23;7564092
2018-07-24;6132098
2018-07-25;5779159
2018-07-26;5850938
2018-07-27;5914022
2018-07-28;7789232
2018-07-29;8228520
2018-07-30;7549070
2018-07-31;6188154
2018-08-01;5786685
2018-08-02;5975355
2018-08-03;6268084
2018-08-04;8061126
2018-08-05;7473016
2018-08-06;7421373
2018-08-07;6308985
2018-08-08;6155585
2018-08-09;5870376
2018-08-10;5644734
2018-08-11;8555444
2018-08-12;8948464
2018-08-13;8642829
2018-08-14;7669332
2018-08-15;6237179
2018-08-16;5948207
2018-08-17;5787352
2018-08-18;6388038
2018-08-19;7170762
2018-08-20;7098342
2018-08-21;5556757
2018-08-22;5442250
2018-08-23;5392649
2018-08-24;4877232
2018-08-25;5516821
2018-08-26;7768189
2018-08-27;8123272
2018-08-28;6286786
2018-08-29;6527740
2018-08-30;6093967
2018-08-31;6153417
2018-09-01;7229383
2018-09-02;7160598
2018-09-03;6836836
2018-09-04;6483176
2018-09-05;6037081
2018-09-06;6257766
2018-09-07;6940911
2018-09-08;8900681
2018-09-09;8743162
2018-09-10;7629837
2018-09-11;6135975
2018-09-12;6748676
2018-09-13;7345461
2018-09-14;7800649
2018-09-15;8664726
2018-09-16;9649755
2018-09-17;9534830
2018-09-18;7455480
2018-09-19;6472075
2018-09-20;6618750
2018-09-21;5872794
2018-09-22;8502769
2018-09-23;9920309
2018-09-24;9711401
2018-09-25;7246448
2018-09-26;6345172
2018-09-27;6309463
2018-09-28;5984593
2018-09-29;6011350
2018-09-30;5566240
2018-10-01;1978644
2018-10-02;3174838
2018-10-03;4385254
2018-10-04;6152841
2018-10-05;6327217
2018-10-06;7911846
2018-10-07;8138929
2018-10-08;7350014
2018-10-09;6485873
2018-10-10;15246113
2018-10-11;14057614
2018-10-12;11473092
2018-10-13;5779159
2018-10-14;6330327
2018-10-15;6445483
2018-10-16;5425447
2018-10-17;4690452
2018-10-18;4499084
2018-10-19;4572041
2018-10-20;6242600
2018-10-21;5903880
2018-10-22;5829682
2018-10-23;6056116
2018-10-24;6206330
2018-10-25;6257772
2018-10-26;6827791
2018-10-27;7789467
2018-10-28;6911239
2018-10-29;6971250
2018-10-30;6870345
2018-10-31;7780850
;
