UserID;Country;Group
1;US;Target
2;EU;Target
3;NA;Target
4;SEA;Target
5;US;Control
6;EU;Control
7;NA;Control
8;SEA;Control
9;US;Target
10;EU;Target
11;NA;Target
12;SEA;Target
13;US;Control
14;EU;Control
15;NA;Control
16;SEA;Control
17;US;Target
18;EU;Target
19;NA;Target
20;SEA;Target
21;US;Control
22;EU;Control
23;NA;Control
24;SEA;Control
25;US;Target
26;EU;Target
27;NA;Target
28;SEA;Target
29;US;Control
30;EU;Control
31;NA;Control
32;SEA;Control
33;US;Target
34;EU;Target
35;NA;Target
36;SEA;Target
37;US;Control
38;EU;Control
39;NA;Control
40;SEA;Control
41;US;Target
42;EU;Target
43;NA;Target
44;SEA;Target
45;US;Control
46;EU;Control
47;NA;Control
48;SEA;Control
49;US;Target
50;EU;Target
51;NA;Target
52;SEA;Target
53;US;Control
54;EU;Control
55;NA;Control
56;SEA;Control
57;US;Target
58;EU;Target
59;NA;Target
60;SEA;Target
61;US;Control
62;EU;Control
63;NA;Control
64;SEA;Control
65;US;Target
66;EU;Target
67;NA;Target
68;SEA;Target
69;US;Control
70;EU;Control
71;NA;Control
72;SEA;Control
73;US;Target
74;EU;Target
75;NA;Target
76;SEA;Target
77;US;Control
78;EU;Control
79;NA;Control
80;SEA;Control
81;US;Target
82;EU;Target
83;NA;Target
84;SEA;Target
85;US;Control
86;EU;Control
87;NA;Control
88;SEA;Control
89;US;Target
90;EU;Target
91;NA;Target
92;SEA;Target
93;US;Control
94;EU;Control
95;NA;Control
96;SEA;Control
97;US;Target
98;EU;Target
99;NA;Target
100;SEA;Target
101;US;Control
102;EU;Control
103;NA;Control
104;SEA;Control
105;US;Target
106;EU;Target
107;NA;Target
108;SEA;Target
109;US;Control
110;EU;Control
111;NA;Control
112;SEA;Control
113;US;Target
114;EU;Target
115;NA;Target
116;SEA;Target
117;US;Control
118;EU;Control
119;NA;Control
120;SEA;Control
121;US;Target
122;EU;Target
123;NA;Target
124;SEA;Target
125;US;Control
126;EU;Control
127;NA;Control
128;SEA;Control
129;US;Target
130;EU;Target
131;NA;Target
132;SEA;Target
133;US;Control
134;EU;Control
135;NA;Control
136;SEA;Control
137;US;Target
138;EU;Target
139;NA;Target
140;SEA;Target
141;US;Control
142;EU;Control
143;NA;Control
144;SEA;Control
145;US;Target
146;EU;Target
147;NA;Target
148;SEA;Target
149;US;Control
150;EU;Control
151;NA;Control
152;SEA;Control
153;US;Target
154;EU;Target
155;NA;Target
156;SEA;Target
157;US;Control
158;EU;Control
159;NA;Control
160;SEA;Control
161;US;Target
162;EU;Target
163;NA;Target
164;SEA;Target
165;US;Control
166;EU;Control
167;NA;Control
168;SEA;Control
169;US;Target
170;EU;Target
171;NA;Target
172;SEA;Target
173;US;Control
174;EU;Control
175;NA;Control
176;SEA;Control
177;US;Target
178;EU;Target
179;NA;Target
180;SEA;Target
181;US;Control
182;EU;Control
183;NA;Control
184;SEA;Control
185;US;Target
186;EU;Target
187;NA;Target
188;SEA;Target
189;US;Control
190;EU;Control
191;NA;Control
192;SEA;Control
193;US;Target
194;EU;Target
195;NA;Target
196;SEA;Target
197;US;Control
198;EU;Control
199;NA;Control
200;SEA;Control
201;US;Target
202;EU;Target
203;NA;Target
204;SEA;Target
205;US;Control
206;EU;Control
207;NA;Control
208;SEA;Control
209;US;Target
210;EU;Target
211;NA;Target
212;SEA;Target
213;US;Control
214;EU;Control
215;NA;Control
216;SEA;Control
217;US;Target
218;EU;Target
219;NA;Target
220;SEA;Target
221;US;Control
222;EU;Control
223;NA;Control
224;SEA;Control
225;US;Target
226;EU;Target
227;NA;Target
228;SEA;Target
229;US;Control
230;EU;Control
231;NA;Control
232;SEA;Control
233;US;Target
234;EU;Target
235;NA;Target
236;SEA;Target
237;US;Control
238;EU;Control
239;NA;Control
240;SEA;Control
241;US;Target
242;EU;Target
243;NA;Target
244;SEA;Target
245;US;Control
246;EU;Control
247;NA;Control
248;SEA;Control
249;US;Target
250;EU;Target
251;NA;Target
252;SEA;Target
253;US;Control
254;EU;Control
255;NA;Control
256;SEA;Control
257;US;Target
258;EU;Target
259;NA;Target
260;SEA;Target
